,reps,interop_compute_ms,globaldb_ms,trial,runtime_ns
0,50,50,0,0,16065455381
1,50,50,0,1,16152530957
2,50,50,0,10,16144671894
3,50,50,0,11,16128757354
4,50,50,0,12,16096785963
5,50,50,0,13,16140536812
6,50,50,0,14,16033706516
7,50,50,0,15,16045662606
8,50,50,0,16,16185011104
9,50,50,0,17,16160468336
10,50,50,0,18,16152684840
11,50,50,0,19,16096554798
12,50,50,0,2,16160349494
13,50,50,0,20,16008938737
14,50,50,0,21,16100746676
15,50,50,0,22,15984588821
16,50,50,0,23,16133268665
17,50,50,0,24,16104719706
18,50,50,0,25,16073849425
19,50,50,0,26,16082819022
20,50,50,0,27,16153048479
21,50,50,0,28,16020252126
22,50,50,0,29,16048862840
23,50,50,0,3,16041601092
24,50,50,0,30,16157438959
25,50,50,0,31,16085377758
26,50,50,0,32,16120597705
27,50,50,0,33,16121267609
28,50,50,0,34,15993654665
29,50,50,0,35,16057271392
30,50,50,0,36,15979966486
31,50,50,0,37,16118099374
32,50,50,0,38,16201763558
33,50,50,0,39,16119847329
34,50,50,0,4,16017176122
35,50,50,0,40,16069567621
36,50,50,0,41,16053271157
37,50,50,0,42,16005929541
38,50,50,0,43,16105946410
39,50,50,0,44,16013372513
40,50,50,0,45,16044297430
41,50,50,0,46,16104835647
42,50,50,0,47,16100633289
43,50,50,0,48,16088687856
44,50,50,0,49,16105058728
45,50,50,0,5,16037285345
46,50,50,0,6,16113998944
47,50,50,0,7,16177211010
48,50,50,0,8,16129928890
49,50,50,0,9,16124893825
50,50,50,100,0,21938682632
51,50,50,100,1,21900979905
52,50,50,100,10,21940809473
53,50,50,100,11,21905481062
54,50,50,100,12,21877815753
55,50,50,100,13,21930048391
56,50,50,100,14,21897380846
57,50,50,100,15,21925773434
58,50,50,100,16,22040506074
59,50,50,100,17,21881418398
60,50,50,100,18,21909607638
61,50,50,100,19,21934006417
62,50,50,100,2,21909084324
63,50,50,100,20,21889523448
64,50,50,100,21,21925026070
65,50,50,100,22,21950082740
66,50,50,100,23,21922025271
67,50,50,100,24,21932605786
68,50,50,100,25,21902190917
69,50,50,100,26,21865926046
70,50,50,100,27,21935867149
71,50,50,100,28,21960190179
72,50,50,100,29,21941879886
73,50,50,100,3,21873600940
74,50,50,100,30,21946093666
75,50,50,100,31,21945518246
76,50,50,100,32,21933282440
77,50,50,100,33,21891392466
78,50,50,100,34,21896423740
79,50,50,100,35,21937169770
80,50,50,100,36,21892994756
81,50,50,100,37,21900567002
82,50,50,100,38,21921204685
83,50,50,100,39,21929403785
84,50,50,100,4,21969894914
85,50,50,100,40,21952750643
86,50,50,100,41,21925654467
87,50,50,100,42,21861805581
88,50,50,100,43,21921530644
89,50,50,100,44,22029863333
90,50,50,100,45,21892431874
91,50,50,100,46,21900667305
92,50,50,100,47,21877457814
93,50,50,100,48,21960917857
94,50,50,100,49,21892747768
95,50,50,100,5,21910181705
96,50,50,100,6,21929337967
97,50,50,100,7,21928163753
98,50,50,100,8,21871665748
