,reps,interop_compute_ms,globaldb_ms,trial,runtime_ns
0,0,0,50,0,240858845
1,0,0,50,1,240846528
2,0,0,50,10,240781131
3,0,0,50,11,236699545
4,0,0,50,12,239765623
5,0,0,50,13,240273361
6,0,0,50,14,239632637
7,0,0,50,15,238347175
8,0,0,50,16,239832756
9,0,0,50,17,240607704
10,0,0,50,18,241003477
11,0,0,50,19,240214041
12,0,0,50,2,240718633
13,0,0,50,20,239944264
14,0,0,50,21,240736955
15,0,0,50,22,240599685
16,0,0,50,23,240884383
17,0,0,50,24,236222282
18,0,0,50,25,240490603
19,0,0,50,26,240345147
20,0,0,50,27,239006183
21,0,0,50,28,240065386
22,0,0,50,29,240258338
23,0,0,50,3,240982768
24,0,0,50,30,240471835
25,0,0,50,31,241254719
26,0,0,50,32,240237747
27,0,0,50,33,239683563
28,0,0,50,34,240870907
29,0,0,50,35,240511264
30,0,0,50,36,240719981
31,0,0,50,37,241148780
32,0,0,50,38,241427485
33,0,0,50,39,240173010
34,0,0,50,4,240715702
35,0,0,50,40,240069437
36,0,0,50,41,240994377
37,0,0,50,42,241102780
38,0,0,50,43,239957811
39,0,0,50,44,241588360
40,0,0,50,45,239384690
41,0,0,50,46,241361136
42,0,0,50,47,240180916
43,0,0,50,48,241416070
44,0,0,50,49,240227214
45,0,0,50,5,240359159
46,0,0,50,6,241472969
47,0,0,50,7,240114633
48,0,0,50,8,240570349
49,0,0,50,9,240503113
50,0,100,50,0,236066249
51,0,100,50,1,241168166
52,0,100,50,10,240438369
53,0,100,50,11,240136965
54,0,100,50,12,240986218
55,0,100,50,13,240141673
56,0,100,50,14,240744625
57,0,100,50,15,239854933
58,0,100,50,16,240932817
59,0,100,50,17,240659949
60,0,100,50,18,240929926
61,0,100,50,19,238953138
62,0,100,50,2,268434332
63,0,100,50,20,237084916
64,0,100,50,21,241222041
65,0,100,50,22,235663042
66,0,100,50,23,240384039
67,0,100,50,24,238213410
68,0,100,50,25,239764363
69,0,100,50,26,240468286
70,0,100,50,27,239146255
71,0,100,50,28,240544807
72,0,100,50,29,241016967
73,0,100,50,3,236558512
74,0,100,50,30,241059602
75,0,100,50,31,240297505
76,0,100,50,32,240504863
77,0,100,50,33,241091700
78,0,100,50,34,239799334
79,0,100,50,35,236077228
80,0,100,50,36,240821686
81,0,100,50,37,239976243
82,0,100,50,38,241023253
83,0,100,50,39,240474796
84,0,100,50,4,239734564
85,0,100,50,40,240147287
86,0,100,50,41,237220034
87,0,100,50,42,240450948
88,0,100,50,43,239744202
89,0,100,50,44,239914953
90,0,100,50,45,239565514
91,0,100,50,46,238614442
92,0,100,50,47,240916436
93,0,100,50,48,241387479
94,0,100,50,49,240412728
95,0,100,50,5,240074110
96,0,100,50,6,239884868
97,0,100,50,7,240512035
98,0,100,50,8,239641387
99,0,100,50,9,241317151
100,0,50,50,0,240180880
101,0,50,50,1,240559413
102,0,50,50,10,241165629
103,0,50,50,11,236405513
104,0,50,50,12,241113718
105,0,50,50,13,241394578
106,0,50,50,14,240423402
107,0,50,50,15,240500828
108,0,50,50,16,238908212
109,0,50,50,17,240656589
110,0,50,50,18,240625896
111,0,50,50,19,241365671
112,0,50,50,2,241155264
113,0,50,50,20,236230523
114,0,50,50,21,239185281
115,0,50,50,22,240048961
116,0,50,50,23,240390305
117,0,50,50,24,236344287
118,0,50,50,25,239808418
119,0,50,50,26,240762452
120,0,50,50,27,239905149
121,0,50,50,28,240392879
122,0,50,50,29,240925736
123,0,50,50,3,240280430
124,0,50,50,30,238856000
125,0,50,50,31,240538843
126,0,50,50,32,240610406
127,0,50,50,33,240636275
128,0,50,50,34,240624821
129,0,50,50,35,241801594
130,0,50,50,36,241474776
131,0,50,50,37,242120753
132,0,50,50,38,240722012
133,0,50,50,39,239645818
134,0,50,50,4,239957669
135,0,50,50,40,240776563
136,0,50,50,41,240313425
137,0,50,50,42,236524049
138,0,50,50,43,240523564
139,0,50,50,44,239711008
140,0,50,50,45,237080296
141,0,50,50,46,240718656
142,0,50,50,47,239913620
143,0,50,50,48,241030746
144,0,50,50,49,240708534
145,0,50,50,5,237016175
146,0,50,50,6,240082081
147,0,50,50,7,241025554
148,0,50,50,8,240974207
149,0,50,50,9,240189629
150,100,0,50,0,28781777011
151,100,0,50,1,28660189626
152,100,0,50,10,28633674463
153,100,0,50,11,28641439360
154,100,0,50,12,28661485019
155,100,0,50,13,28637577767
156,100,0,50,14,28617318284
157,100,0,50,15,28641102639
158,100,0,50,16,28632725268
159,100,0,50,17,28588941508
160,100,0,50,18,28636682246
161,100,0,50,19,28641360993
162,100,0,50,2,28645837772
163,100,0,50,20,28625049671
164,100,0,50,21,28641104238
165,100,0,50,22,28668506825
166,100,0,50,23,28645218614
167,100,0,50,24,28628707969
168,100,0,50,25,28636629392
169,100,0,50,26,28597772641
170,100,0,50,27,28633549278
171,100,0,50,28,28644519881
172,100,0,50,29,28633314640
173,100,0,50,3,28632364620
174,100,0,50,30,28674730465
175,100,0,50,31,28649321284
176,100,0,50,32,28665924586
177,100,0,50,33,28661059249
178,100,0,50,34,28665214846
179,100,0,50,35,28665230546
180,100,0,50,36,28638721865
181,100,0,50,37,28632333056
182,100,0,50,38,28632858517
183,100,0,50,39,28629249125
184,100,0,50,4,28641386288
185,100,0,50,40,28628760039
186,100,0,50,41,28629791522
187,100,0,50,42,28661977019
188,100,0,50,43,28668961734
189,100,0,50,44,28620593558
190,100,0,50,45,28640902047
191,100,0,50,46,28650102184
192,100,0,50,47,28645053260
193,100,0,50,48,28625396266
194,100,0,50,49,28646123494
195,100,0,50,5,28613318111
196,100,0,50,6,28628513181
197,100,0,50,7,28622908129
198,100,0,50,8,28632713093
199,100,0,50,9,28637320854
200,100,100,50,0,38565461450
201,100,100,50,1,38609616030
202,100,100,50,10,38642049369
203,100,100,50,11,38609464558
204,100,100,50,12,38670457811
205,100,100,50,13,38622038997
206,100,100,50,14,38645893452
207,100,100,50,15,38564467091
208,100,100,50,16,38605180540
209,100,100,50,17,38661252249
210,100,100,50,18,38622075711
211,100,100,50,19,38636543037
212,100,100,50,2,38636614712
213,100,100,50,20,38604619046
214,100,100,50,21,38665592940
215,100,100,50,22,38584578598
216,100,100,50,23,38649289423
217,100,100,50,24,38596843866
218,100,100,50,25,38650088534
219,100,100,50,26,38629271342
220,100,100,50,27,38571179376
221,100,100,50,28,38591709167
222,100,100,50,29,38644998722
223,100,100,50,3,38640767763
224,100,100,50,30,38637923925
225,100,100,50,31,38649665353
226,100,100,50,32,38643688789
227,100,100,50,33,38621566408
228,100,100,50,34,38612715158
229,100,100,50,35,38665312908
230,100,100,50,36,38533896004
231,100,100,50,37,38616634178
232,100,100,50,38,38646420982
233,100,100,50,39,38556770932
234,100,100,50,4,38673930405
235,100,100,50,40,38636718763
236,100,100,50,41,38620827205
237,100,100,50,42,38544410807
238,100,100,50,43,38616852659
239,100,100,50,44,38646553815
240,100,100,50,45,38661211723
241,100,100,50,46,38680058994
242,100,100,50,47,38605459499
243,100,100,50,48,38629922113
244,100,100,50,49,38606004014
245,100,100,50,5,38625560757
246,100,100,50,6,38614039673
247,100,100,50,7,38569544802
248,100,100,50,8,38624998687
249,100,100,50,9,38620277033
250,100,50,50,0,33341811460
251,100,50,50,1,33361716097
252,100,50,50,10,33453154579
253,100,50,50,11,33385370363
254,100,50,50,12,33421162809
255,100,50,50,13,33425482922
256,100,50,50,14,33390109240
257,100,50,50,15,33501695677
258,100,50,50,16,33437147647
259,100,50,50,17,33456470599
260,100,50,50,18,33428735756
261,100,50,50,19,33441496207
262,100,50,50,2,33321193205
263,100,50,50,20,33321135510
264,100,50,50,21,33417141706
265,100,50,50,22,33425604623
266,100,50,50,23,33277737886
267,100,50,50,24,33509269757
268,100,50,50,25,33404175029
269,100,50,50,26,33416338951
270,100,50,50,27,33473501105
271,100,50,50,28,33344635084
272,100,50,50,29,33448977193
273,100,50,50,3,33397754466
274,100,50,50,30,33420786692
275,100,50,50,31,33425827055
276,100,50,50,32,33305292359
277,100,50,50,33,33396864134
278,100,50,50,34,33384883802
279,100,50,50,35,33369240891
280,100,50,50,36,33446790253
281,100,50,50,37,33461203037
282,100,50,50,38,33436866929
283,100,50,50,39,33429779260
284,100,50,50,4,33385230243
285,100,50,50,40,33367480435
286,100,50,50,41,33389190160
287,100,50,50,42,33429803272
288,100,50,50,43,33401245923
289,100,50,50,44,33393569860
290,100,50,50,45,33428731903
291,100,50,50,46,33417734081
292,100,50,50,47,33380412549
293,100,50,50,48,33437162929
294,100,50,50,49,33353398515
295,100,50,50,5,33449441054
296,100,50,50,6,33469410909
297,100,50,50,7,33459631736
298,100,50,50,8,33449359392
299,100,50,50,9,33481128902
300,105,0,50,0,30076503167
301,105,0,50,1,30068392683
302,105,0,50,10,30081332696
303,105,0,50,11,30037559015
304,105,0,50,12,30056572301
305,105,0,50,13,30041724497
306,105,0,50,14,30048534223
307,105,0,50,15,30056407948
308,105,0,50,16,30049261655
309,105,0,50,17,30041831074
310,105,0,50,18,30053187509
311,105,0,50,19,30068466358
312,105,0,50,2,30055245262
313,105,0,50,20,30097970614
314,105,0,50,21,30104193057
315,105,0,50,22,30077567657
316,105,0,50,23,30068017193
317,105,0,50,24,30065573332
318,105,0,50,25,30104737370
319,105,0,50,26,30069288380
320,105,0,50,27,30055012625
321,105,0,50,28,30069518729
322,105,0,50,29,30044694938
323,105,0,50,3,30057376888
324,105,0,50,30,30137099896
325,105,0,50,31,30089093370
326,105,0,50,32,30021390839
327,105,0,50,33,30040700899
328,105,0,50,34,30053793742
329,105,0,50,35,30048500687
330,105,0,50,36,30044594145
331,105,0,50,37,30060243288
332,105,0,50,38,30053279486
333,105,0,50,39,30061705955
334,105,0,50,4,30048447369
335,105,0,50,40,30057741621
336,105,0,50,41,30069267558
337,105,0,50,42,30057429488
338,105,0,50,43,30065572697
339,105,0,50,44,30057415564
340,105,0,50,45,30053230095
341,105,0,50,46,30057541273
342,105,0,50,47,30045536277
343,105,0,50,48,30061895281
344,105,0,50,49,30064636504
345,105,0,50,5,30049044479
346,105,0,50,6,30037919955
347,105,0,50,7,30060429922
348,105,0,50,8,30033557732
349,105,0,50,9,30088988100
350,105,100,50,0,40553303702
351,105,100,50,1,40552905320
352,105,100,50,10,40509355097
353,105,100,50,11,40576217808
354,105,100,50,12,40552375713
355,105,100,50,13,40605277089
356,105,100,50,14,40597338558
357,105,100,50,15,40524631303
358,105,100,50,16,40537522235
359,105,100,50,17,40478166222
360,105,100,50,18,40542326512
361,105,100,50,19,40517812254
362,105,100,50,2,40556752564
363,105,100,50,20,40549020555
364,105,100,50,21,40565789040
365,105,100,50,22,40556940507
366,105,100,50,23,40540771111
367,105,100,50,24,40600732515
368,105,100,50,25,40592636709
369,105,100,50,26,40484600363
370,105,100,50,27,40485700224
371,105,100,50,28,40577336437
372,105,100,50,29,40573930158
373,105,100,50,3,40545304164
374,105,100,50,30,40589641974
375,105,100,50,31,40543512809
376,105,100,50,32,40536517029
377,105,100,50,33,40504409814
378,105,100,50,34,40633931826
379,105,100,50,35,40560907991
380,105,100,50,36,40577250871
381,105,100,50,37,40537095254
382,105,100,50,38,40541304092
383,105,100,50,39,40492348455
384,105,100,50,4,40588733437
385,105,100,50,40,40520912051
386,105,100,50,41,40568968335
387,105,100,50,42,40536925113
388,105,100,50,43,40541366041
389,105,100,50,44,40516491687
390,105,100,50,45,40473654340
391,105,100,50,46,40497191207
392,105,100,50,47,40601175317
393,105,100,50,48,40538028476
394,105,100,50,49,40537328728
395,105,100,50,5,40496754811
396,105,100,50,6,40528810209
397,105,100,50,7,40497459980
398,105,100,50,8,40590183943
399,105,100,50,9,40561768301
400,105,50,50,0,35049935653
401,105,50,50,1,35049413904
402,105,50,50,10,35060521621
403,105,50,50,11,35049129283
404,105,50,50,12,35086907803
405,105,50,50,13,35060278655
406,105,50,50,14,35073514359
407,105,50,50,15,35090015143
408,105,50,50,16,35057650691
409,105,50,50,17,35069815622
410,105,50,50,18,35020918074
411,105,50,50,19,35077753304
412,105,50,50,2,35029613930
413,105,50,50,20,35064756282
414,105,50,50,21,35045320760
415,105,50,50,22,35038015175
416,105,50,50,23,35049375917
417,105,50,50,24,35105252678
418,105,50,50,25,35061164637
419,105,50,50,26,35041782397
420,105,50,50,27,35076721387
421,105,50,50,28,35061314049
422,105,50,50,29,35081539260
423,105,50,50,3,35052805000
424,105,50,50,30,35164508647
425,105,50,50,31,35065117247
426,105,50,50,32,35037949831
427,105,50,50,33,35112994870
428,105,50,50,34,35077787485
429,105,50,50,35,35016743870
430,105,50,50,36,35091840579
431,105,50,50,37,34996577696
432,105,50,50,38,35113557003
433,105,50,50,39,35102787985
434,105,50,50,4,35108869698
435,105,50,50,40,35085685884
436,105,50,50,41,35045752261
437,105,50,50,42,35132277335
438,105,50,50,43,35073247731
439,105,50,50,44,35096988590
440,105,50,50,45,35105534968
441,105,50,50,46,35113527273
442,105,50,50,47,35117607113
443,105,50,50,48,35164970555
444,105,50,50,49,35044059809
445,105,50,50,5,35032421186
446,105,50,50,6,35065568718
447,105,50,50,7,35084755940
448,105,50,50,8,35064897383
449,105,50,50,9,35084373835
450,10,0,50,0,3081211797
451,10,0,50,1,3079897707
452,10,0,50,10,3077182287
453,10,0,50,11,3066972948
454,10,0,50,12,3081017752
455,10,0,50,13,3060691877
456,10,0,50,14,3076167806
457,10,0,50,15,3077268487
458,10,0,50,16,3072436431
459,10,0,50,17,3080767776
460,10,0,50,18,3079866861
461,10,0,50,19,3080937401
462,10,0,50,2,3080525979
463,10,0,50,20,3068024910
464,10,0,50,21,3080476404
465,10,0,50,22,3081262821
466,10,0,50,23,3076145473
467,10,0,50,24,3079785267
468,10,0,50,25,3077027170
469,10,0,50,26,3077274634
470,10,0,50,27,3071879684
471,10,0,50,28,3081352986
472,10,0,50,29,3064948822
473,10,0,50,3,3071885133
474,10,0,50,30,3079878183
475,10,0,50,31,3080683316
476,10,0,50,32,3072442389
477,10,0,50,33,3076467143
478,10,0,50,34,3076150383
479,10,0,50,35,3081818558
480,10,0,50,36,3092559260
481,10,0,50,37,3080281679
482,10,0,50,38,3072643957
483,10,0,50,39,3075980700
484,10,0,50,4,3081005342
485,10,0,50,40,3080921717
486,10,0,50,41,3076606989
487,10,0,50,42,3069914913
488,10,0,50,43,3072195031
489,10,0,50,44,3079859214
490,10,0,50,45,3107920836
491,10,0,50,46,3081035372
492,10,0,50,47,3067894198
493,10,0,50,48,3072578063
494,10,0,50,49,3080211108
495,10,0,50,5,3076967979
496,10,0,50,6,3072215368
497,10,0,50,7,3080117401
498,10,0,50,8,3077469515
499,10,0,50,9,3080669694
500,10,100,50,0,4047869015
501,10,100,50,1,4076595172
502,10,100,50,10,4072363047
503,10,100,50,11,4068747748
504,10,100,50,12,4071844484
505,10,100,50,13,4081228265
506,10,100,50,14,4048806442
507,10,100,50,15,4081117669
508,10,100,50,16,4075960992
509,10,100,50,17,4091883057
510,10,100,50,18,4109546248
511,10,100,50,19,4079802931
512,10,100,50,2,4080395424
513,10,100,50,20,4064506572
514,10,100,50,21,4080872652
515,10,100,50,22,4060502036
516,10,100,50,23,4072488221
517,10,100,50,24,4072834532
518,10,100,50,25,4060548387
519,10,100,50,26,4084066036
520,10,100,50,27,4065029445
521,10,100,50,28,4077263839
522,10,100,50,29,4080422388
523,10,100,50,3,4047992285
524,10,100,50,30,4064469534
525,10,100,50,31,4080721422
526,10,100,50,32,4079816557
527,10,100,50,33,4064601918
528,10,100,50,34,4073354720
529,10,100,50,35,4077524433
530,10,100,50,36,4060796410
531,10,100,50,37,4072039812
532,10,100,50,38,4076267391
533,10,100,50,39,4079972847
534,10,100,50,4,4076400986
535,10,100,50,40,4059750318
536,10,100,50,41,4069450506
537,10,100,50,42,4080005396
538,10,100,50,43,4072693071
539,10,100,50,44,4068609212
540,10,100,50,45,4080467947
541,10,100,50,46,4069024338
542,10,100,50,47,4076075743
543,10,100,50,48,4079920221
544,10,100,50,49,4069317404
545,10,100,50,5,4080993240
546,10,100,50,6,4072628134
547,10,100,50,7,4072005889
548,10,100,50,8,4068255427
549,10,100,50,9,4072137604
550,10,50,50,0,3557082266
551,10,50,50,1,3573207514
552,10,50,50,10,3543148877
553,10,50,50,11,3532545213
554,10,50,50,12,3529843776
555,10,50,50,13,3537100500
556,10,50,50,14,3539966417
557,10,50,50,15,3561139357
558,10,50,50,16,3545060498
559,10,50,50,17,3524528897
560,10,50,50,18,3540723501
561,10,50,50,19,3544422348
562,10,50,50,2,3535967083
563,10,50,50,20,3555090325
564,10,50,50,21,3560683154
565,10,50,50,22,3530402487
566,10,50,50,23,3541003329
567,10,50,50,24,3541554521
