,reps,interop_compute_ms,trial,runtime_ns
0,0,0,0,403783001
1,0,0,1,401574642
2,0,0,10,402260584
3,0,0,11,401360465
4,0,0,12,401065583
5,0,0,13,401711575
6,0,0,14,402843283
7,0,0,15,402518578
8,0,0,16,401560352
9,0,0,17,401009169
10,0,0,18,403317890
11,0,0,19,401973125
12,0,0,2,401547212
13,0,0,20,409667242
14,0,0,21,402729151
15,0,0,22,401672317
16,0,0,23,399821928
17,0,0,24,401081967
18,0,0,25,403574775
19,0,0,26,401195291
20,0,0,27,403687372
21,0,0,28,402063388
22,0,0,29,403373269
23,0,0,3,403717066
24,0,0,4,403243399
25,0,0,5,401416044
26,0,0,6,403080812
27,0,0,7,400324194
28,0,0,8,403501723
29,0,0,9,402311318
30,0,100,0,401949794
31,0,100,1,402516071
32,0,100,10,403009311
33,0,100,11,402887006
34,0,100,12,401326827
35,0,100,13,401344826
36,0,100,14,401948099
37,0,100,15,402620253
38,0,100,16,402516815
39,0,100,17,400256836
40,0,100,18,402609067
41,0,100,19,400368764
42,0,100,2,402235875
43,0,100,20,403558267
44,0,100,21,400495379
45,0,100,22,400674349
46,0,100,23,401082774
47,0,100,24,401600883
48,0,100,25,403324306
49,0,100,26,403928585
50,0,100,27,402354079
51,0,100,28,402488749
52,0,100,29,399975720
53,0,100,3,403190320
54,0,100,4,402053353
55,0,100,5,402405135
56,0,100,6,401992153
57,0,100,7,402546385
58,0,100,8,401927769
59,0,100,9,403802253
60,0,50,0,402063341
61,0,50,1,402535234
62,0,50,10,403226724
63,0,50,11,400693545
64,0,50,12,402335107
65,0,50,13,401972990
66,0,50,14,402405954
67,0,50,15,402000699
68,0,50,16,401156895
69,0,50,17,401390658
70,0,50,18,402281443
71,0,50,19,399758686
72,0,50,2,403009909
73,0,50,20,402475925
74,0,50,21,401155343
75,0,50,22,401203184
76,0,50,23,399618101
77,0,50,24,402388662
78,0,50,25,402993793
79,0,50,26,401040511
80,0,50,27,403357477
81,0,50,28,402870215
82,0,50,29,401251044
83,0,50,3,400328477
84,0,50,4,403783913
85,0,50,5,400916992
86,0,50,6,400462893
87,0,50,7,400572461
88,0,50,8,401532640
89,0,50,9,401736417
90,100,0,0,29292489448
91,100,0,1,29203667657
92,100,0,10,29226381850
93,100,0,11,29222448754
94,100,0,12,29243024331
95,100,0,13,29209697219
96,100,0,14,29254052227
97,100,0,15,29211758615
98,100,0,16,29214132720
99,100,0,17,29217877329
100,100,0,18,29222723544
101,100,0,19,29226503979
102,100,0,2,29256858451
103,100,0,20,29218032508
104,100,0,21,29228618453
105,100,0,22,29219892002
106,100,0,23,29222317439
107,100,0,24,29201648745
108,100,0,25,29212537862
109,100,0,26,29222841906
110,100,0,27,29224112760
111,100,0,28,29257651447
112,100,0,29,29584835677
113,100,0,3,29217136091
114,100,0,4,29213326706
115,100,0,5,29224440456
116,100,0,6,29214205307
117,100,0,7,29217527424
118,100,0,8,29223856370
119,100,0,9,29204306258
120,100,100,0,39315625701
121,100,100,1,39239078146
122,100,100,10,39359536805
123,100,100,11,39262342779
124,100,100,12,39326676028
125,100,100,13,39274764223
126,100,100,14,39379324386
127,100,100,15,39283836003
128,100,100,16,39265606994
129,100,100,17,39641213143
130,100,100,18,39287578833
131,100,100,19,39378221726
132,100,100,2,39275463022
133,100,100,20,39368026915
134,100,100,21,39239134559
135,100,100,22,39316247001
136,100,100,23,39234455242
137,100,100,24,39482337893
138,100,100,25,39350123239
139,100,100,26,39233032859
140,100,100,27,39290622897
141,100,100,28,39217757223
142,100,100,29,39308940706
143,100,100,3,39297011073
144,100,100,4,39342483888
145,100,100,5,39350395791
146,100,100,6,39268632437
147,100,100,7,39355378399
148,100,100,8,39280780111
149,100,100,9,39346185392
150,100,50,0,34402065217
151,100,50,1,34441955450
152,100,50,10,34405819110
153,100,50,11,34426283923
154,100,50,12,34417999097
155,100,50,13,34405386582
156,100,50,14,34419104930
157,100,50,15,34414504900
158,100,50,16,34434180362
159,100,50,17,34434984682
160,100,50,18,34420959384
161,100,50,19,34412129000
162,100,50,2,34417016793
163,100,50,20,34418542166
164,100,50,21,34417748362
165,100,50,22,34405699451
166,100,50,23,34418503526
167,100,50,24,34429276632
168,100,50,25,34411265765
169,100,50,26,34425131486
170,100,50,27,34413435453
171,100,50,28,34416554991
172,100,50,29,34413807108
173,100,50,3,34409739982
174,100,50,4,34416272179
175,100,50,5,34427607953
176,100,50,6,34403645072
177,100,50,7,34408438521
178,100,50,8,34401975377
179,100,50,9,34406630452
180,105,0,0,30710611670
181,105,0,1,30667164235
182,105,0,10,30650637899
183,105,0,11,30657793538
184,105,0,12,30647156291
185,105,0,13,30693179159
186,105,0,14,30666422282
187,105,0,15,30673971767
188,105,0,16,30653852707
189,105,0,17,30686448894
190,105,0,18,30696475102
191,105,0,19,30679630700
192,105,0,2,30644082622
193,105,0,20,30680851950
194,105,0,21,30659679310
195,105,0,22,30648798816
196,105,0,23,30659256767
197,105,0,24,30670529807
198,105,0,25,30661803498
199,105,0,26,30687844806
200,105,0,27,30683654442
201,105,0,28,30683468522
202,105,0,29,30664309064
203,105,0,3,30640153045
204,105,0,4,30661679041
205,105,0,5,30664449600
206,105,0,6,30648070688
207,105,0,7,30654217632
208,105,0,8,30679664490
209,105,0,9,30679357870
210,105,100,0,41172231611
211,105,100,1,41279159224
212,105,100,10,41257903747
213,105,100,11,41309000666
214,105,100,12,41262534159
215,105,100,13,41238382898
216,105,100,14,41161999739
217,105,100,15,41287363217
218,105,100,16,41203510731
219,105,100,17,41176158527
220,105,100,18,41318061699
221,105,100,19,41235815423
222,105,100,2,41186830355
223,105,100,20,41238777212
224,105,100,21,41214614208
225,105,100,22,41280096199
226,105,100,23,41217400900
227,105,100,24,41255500078
228,105,100,25,41230090600
229,105,100,26,41258959351
230,105,100,27,41173444448
231,105,100,28,41271482832
232,105,100,29,41270216489
233,105,100,3,41291638568
234,105,100,4,41285468663
235,105,100,5,41205184191
236,105,100,6,41245639495
237,105,100,7,41239822917
238,105,100,8,41295258141
239,105,100,9,41320694435
240,105,50,0,36133126151
241,105,50,1,36106857943
242,105,50,10,36115667312
243,105,50,11,36101053567
244,105,50,12,36113060440
245,105,50,13,36116554446
246,105,50,14,36109794665
247,105,50,15,36119894872
248,105,50,16,36124411510
249,105,50,17,36103955487
250,105,50,18,36117698207
251,105,50,19,36121089455
252,105,50,2,36108486614
253,105,50,20,36102498073
254,105,50,21,36129927148
255,105,50,22,36119100692
256,105,50,23,36104133401
257,105,50,24,36109939722
258,105,50,25,36117519684
259,105,50,26,36108680008
260,105,50,27,36122673020
261,105,50,28,36134822006
262,105,50,29,36109762618
263,105,50,3,36106629331
264,105,50,4,36100171563
265,105,50,5,36108872741
266,105,50,6,36117478837
267,105,50,7,36108530433
268,105,50,8,36118152842
269,105,50,9,36127738391
270,10,0,0,3280531805
271,10,0,1,3281017298
272,10,0,10,3289512593
273,10,0,11,3291898091
274,10,0,12,3286879085
275,10,0,13,3287568370
276,10,0,14,3294445488
277,10,0,15,3280448384
278,10,0,16,3280365603
279,10,0,17,3292691790
280,10,0,18,3285419723
281,10,0,19,3283333941
282,10,0,2,3285991688
283,10,0,20,3284469078
284,10,0,21,3290295444
285,10,0,22,3280051913
286,10,0,23,3287826221
287,10,0,24,3281159797
288,10,0,25,3285537842
289,10,0,26,3282091705
290,10,0,27,3282463888
291,10,0,28,3293978178
292,10,0,29,3279932584
293,10,0,3,3281169278
294,10,0,4,3282660040
295,10,0,5,3281969339
296,10,0,6,3283007146
297,10,0,7,3284012987
298,10,0,8,3282578558
299,10,0,9,3289433740
