,reps,interop_compute_ms,globaldb_ms,trial,runtime_ns
0,50,50,0,0,9392373031
1,50,50,0,1,9333377320
2,50,50,0,10,9356784106
3,50,50,0,11,9380408559
4,50,50,0,12,9320428915
5,50,50,0,13,9324688900
6,50,50,0,14,9444556963
7,50,50,0,15,9404896923
8,50,50,0,16,9295246768
9,50,50,0,17,9364505013
10,50,50,0,18,9402964517
11,50,50,0,19,9393162890
12,50,50,0,2,9314389423
13,50,50,0,20,9319828845
14,50,50,0,21,9317045776
15,50,50,0,22,9288469451
16,50,50,0,23,9312996422
17,50,50,0,24,9315978719
18,50,50,0,25,9384846796
19,50,50,0,26,9376660010
20,50,50,0,27,9396110944
21,50,50,0,28,9388224217
22,50,50,0,29,9325075636
23,50,50,0,3,9407487738
24,50,50,0,30,9328557796
25,50,50,0,31,9300790233
26,50,50,0,32,9396368564
27,50,50,0,33,9395931986
28,50,50,0,34,9412402638
29,50,50,0,35,9345260423
30,50,50,0,36,9292410538
31,50,50,0,37,9313529383
32,50,50,0,38,9259874625
33,50,50,0,39,9529557967
34,50,50,0,4,9387555826
35,50,50,0,40,9380797194
36,50,50,0,41,9405232402
37,50,50,0,42,9393357379
38,50,50,0,43,9383868119
39,50,50,0,44,9309199602
40,50,50,0,45,9355852335
41,50,50,0,46,9360599570
42,50,50,0,47,9388929130
43,50,50,0,48,9393262947
44,50,50,0,49,9355422693
45,50,50,0,5,9369347153
46,50,50,0,6,9368501789
47,50,50,0,7,9272764788
48,50,50,0,8,9316467584
49,50,50,0,9,9304237195
50,50,50,100,0,14940488215
51,50,50,100,1,14937239615
52,50,50,100,10,14937239110
53,50,50,100,11,14942408019
54,50,50,100,12,14945086215
55,50,50,100,13,14941784965
56,50,50,100,14,14937207916
57,50,50,100,15,14945093252
58,50,50,100,16,15065923913
59,50,50,100,17,14942023835
60,50,50,100,18,14941857716
61,50,50,100,19,14937670898
62,50,50,100,2,14932790497
63,50,50,100,20,14929815888
64,50,50,100,21,14929221732
65,50,50,100,22,14941258113
66,50,50,100,23,14932477740
67,50,50,100,24,14945955137
68,50,50,100,25,14928529419
69,50,50,100,26,14953127477
70,50,50,100,27,14952515754
71,50,50,100,28,14933539084
72,50,50,100,29,14936001565
73,50,50,100,3,14944465128
74,50,50,100,30,14938300564
75,50,50,100,31,14941455411
76,50,50,100,32,14937485788
77,50,50,100,33,14934065022
78,50,50,100,34,14937300793
79,50,50,100,35,14929179370
80,50,50,100,36,14925627512
81,50,50,100,37,14941780578
82,50,50,100,38,14937692347
83,50,50,100,39,15162104888
84,50,50,100,4,14941393698
85,50,50,100,40,14933210373
86,50,50,100,41,14937763874
87,50,50,100,42,14940745467
88,50,50,100,43,14941739396
89,50,50,100,44,14953851700
90,50,50,100,45,14937162191
91,50,50,100,46,14920539345
92,50,50,100,47,14941314394
93,50,50,100,48,14941857447
94,50,50,100,49,14941488531
95,50,50,100,5,14941858999
96,50,50,100,6,14945370397
97,50,50,100,7,14940779478
98,50,50,100,8,14945045041
99,50,50,100,9,14932882929
100,50,50,25,0,11636838162
101,50,50,25,1,11630281343
102,50,50,25,10,11630054736
103,50,50,25,11,11713114893
104,50,50,25,12,11596623597
105,50,50,25,13,11633646865
106,50,50,25,14,11628744602
107,50,50,25,15,11633488141
108,50,50,25,16,11636601998
109,50,50,25,17,11632521066
110,50,50,25,18,11637597739
111,50,50,25,19,11629307159
112,50,50,25,2,11636367174
113,50,50,25,20,11626175001
114,50,50,25,21,11637419927
115,50,50,25,22,11585461413
116,50,50,25,23,11629507710
117,50,50,25,24,11629769207
118,50,50,25,25,11637683701
119,50,50,25,26,11629649945
120,50,50,25,27,11634078462
121,50,50,25,28,11598321689
122,50,50,25,29,11632757048
123,50,50,25,3,11637014443
124,50,50,25,30,11604361791
125,50,50,25,31,11604783885
126,50,50,25,32,11637835718
127,50,50,25,33,11633257845
128,50,50,25,34,11673742218
129,50,50,25,35,11629029594
130,50,50,25,36,11633778037
131,50,50,25,37,11637818334
132,50,50,25,38,11629209019
133,50,50,25,39,11617563251
134,50,50,25,4,11613563361
135,50,50,25,40,11632745226
136,50,50,25,41,11628738712
137,50,50,25,42,11625684393
138,50,50,25,43,11629269605
139,50,50,25,44,11633319729
140,50,50,25,45,11628537845
141,50,50,25,46,11629585717
142,50,50,25,47,11637756538
143,50,50,25,48,11641614051
144,50,50,25,49,11612638077
145,50,50,25,5,11597291887
146,50,50,25,6,11633321992
147,50,50,25,7,11630568758
148,50,50,25,8,11628481691
149,50,50,25,9,11634531647
150,50,50,50,0,9680964407
151,50,50,50,1,9687900286
152,50,50,50,10,9675526788
153,50,50,50,11,9672669359
154,50,50,50,12,9688200897
155,50,50,50,13,9708072533
156,50,50,50,14,9688191477
157,50,50,50,15,9683089225
158,50,50,50,16,9684582964
159,50,50,50,17,9684760581
160,50,50,50,18,9680566151
161,50,50,50,19,9676325421
162,50,50,50,2,9676811125
163,50,50,50,20,9677685391
164,50,50,50,21,9685687365
165,50,50,50,22,9701836580
166,50,50,50,23,9684539351
167,50,50,50,24,9691806498
168,50,50,50,25,9680293479
169,50,50,50,26,9672070507
170,50,50,50,27,9680083783
171,50,50,50,28,9671195035
172,50,50,50,29,9668246536
173,50,50,50,3,9684790764
174,50,50,50,30,9682096596
175,50,50,50,31,9709027957
176,50,50,50,32,9680441201
177,50,50,50,33,9688720212
178,50,50,50,34,9681305405
179,50,50,50,35,9679926709
180,50,50,50,36,9681689653
181,50,50,50,37,9680737032
182,50,50,50,38,9680142674
183,50,50,50,39,9681094737
184,50,50,50,4,9696063965
185,50,50,50,40,9856393179
186,50,50,50,41,9680173987
187,50,50,50,42,9704039271
188,50,50,50,43,9680454447
189,50,50,50,44,9676334527
190,50,50,50,45,9684196478
191,50,50,50,46,9682696710
192,50,50,50,47,9689016768
193,50,50,50,48,9677070616
194,50,50,50,49,9709119523
195,50,50,50,5,9681507081
196,50,50,50,6,9698370050
197,50,50,50,7,9676955702
198,50,50,50,9,9683939383
199,50,50,75,0,12087383985
200,50,50,75,1,12128835212
201,50,50,75,10,12110076585
202,50,50,75,11,12113991415
203,50,50,75,12,12105331625
204,50,50,75,13,12093915093
205,50,50,75,14,12101392191
206,50,50,75,15,12097469075
207,50,50,75,16,12100354764
208,50,50,75,17,12329247443
209,50,50,75,18,12093366980
210,50,50,75,19,12128805280
211,50,50,75,2,12108894371
212,50,50,75,20,12121677691
213,50,50,75,21,12091257616
214,50,50,75,22,12109014867
215,50,50,75,23,12109803701
216,50,50,75,24,12100349111
217,50,50,75,25,12097663535
218,50,50,75,26,12098057925
219,50,50,75,27,12101016792
220,50,50,75,28,12125816232
221,50,50,75,29,12121011326
222,50,50,75,3,12109967522
223,50,50,75,30,12100491385
224,50,50,75,31,12101558276
225,50,50,75,32,12094188436
226,50,50,75,33,12089307968
227,50,50,75,34,12097783024
228,50,50,75,35,12098043059
229,50,50,75,36,12096987077
230,50,50,75,37,12109620894
231,50,50,75,38,12112597401
232,50,50,75,39,12098045851
233,50,50,75,4,12101094707
234,50,50,75,40,12193811340
235,50,50,75,41,12105851480
236,50,50,75,42,12093222473
237,50,50,75,43,12090099445
238,50,50,75,44,12100681105
239,50,50,75,45,12096509827
240,50,50,75,46,12121918399
241,50,50,75,47,12110177462
242,50,50,75,48,12097390801
243,50,50,75,49,12100447121
244,50,50,75,5,12106064932
245,50,50,75,6,12097298513
246,50,50,75,7,12101217218
247,50,50,75,8,12092860363
248,50,50,75,9,12097765612
