,reps,interop_compute_ms,globaldb_ms,trial,runtime_ns
0,100,0,50,0,19101114017
1,100,0,50,1,19117397677
2,100,0,50,10,19093725171
3,100,0,50,11,19092625473
4,100,0,50,12,19122009929
5,100,0,50,13,19092125950
6,100,0,50,14,19093407094
7,100,0,50,15,19093716415
8,100,0,50,16,19133708728
9,100,0,50,17,19094012191
10,100,0,50,18,19101216393
11,100,0,50,19,19113120120
12,100,0,50,2,19096818596
13,100,0,50,20,19089713641
14,100,0,50,21,19093725313
15,100,0,50,22,19088879916
16,100,0,50,23,19105740957
17,100,0,50,24,19093188719
18,100,0,50,25,19093471310
19,100,0,50,26,19105862567
20,100,0,50,27,19096403493
21,100,0,50,28,19105247293
22,100,0,50,29,19089702323
23,100,0,50,3,19085440755
24,100,0,50,30,19140262149
25,100,0,50,31,19094119811
26,100,0,50,32,19117822400
27,100,0,50,33,19094502659
28,100,0,50,34,19093075144
29,100,0,50,35,19097319686
30,100,0,50,36,19089894832
31,100,0,50,37,19104664642
32,100,0,50,38,19103514045
33,100,0,50,39,19086013896
34,100,0,50,4,19097574516
35,100,0,50,40,19105490797
36,100,0,50,41,19106104678
37,100,0,50,42,19112945945
38,100,0,50,43,19090072798
39,100,0,50,44,19121187972
40,100,0,50,45,19092699034
41,100,0,50,46,19093370856
42,100,0,50,47,19085014484
43,100,0,50,48,19120203183
44,100,0,50,49,19113475681
45,100,0,50,5,19261957191
46,100,0,50,50,19098033108
47,100,0,50,51,19109204569
48,100,0,50,52,19088594196
49,100,0,50,53,19101336709
50,100,0,50,54,19093864927
51,100,0,50,55,19089249933
52,100,0,50,56,19094151299
53,100,0,50,57,19091849510
54,100,0,50,58,19092953715
55,100,0,50,59,19114132204
56,100,0,50,6,19085741230
57,100,0,50,60,19093791225
58,100,0,50,61,19091088703
59,100,0,50,62,19088901029
60,100,0,50,63,19093258101
61,100,0,50,64,19109612311
62,100,0,50,65,19085132718
63,100,0,50,66,19085249347
64,100,0,50,67,19093326865
65,100,0,50,68,19085501538
66,100,0,50,69,19093709473
67,100,0,50,7,19092388393
68,100,0,50,70,19113335712
69,100,0,50,71,19084477944
70,100,0,50,72,19093227667
71,100,0,50,73,19265735920
72,100,0,50,74,19093726967
73,100,0,50,75,19085002899
74,100,0,50,76,19113636630
75,100,0,50,77,19096162436
76,100,0,50,78,19089648424
77,100,0,50,79,19093357769
78,100,0,50,8,19089557081
79,100,0,50,80,19092690630
80,100,0,50,81,19089137124
81,100,0,50,82,19092546332
82,100,0,50,83,19088556103
83,100,0,50,84,19121266188
84,100,0,50,85,19089445019
85,100,0,50,86,19089064787
86,100,0,50,87,19093543907
87,100,0,50,88,19097278024
88,100,0,50,89,19088378031
89,100,0,50,9,19093335579
90,100,0,50,90,19092688339
91,100,0,50,91,19134117326
92,100,0,50,92,19096551129
93,100,0,50,93,19088820437
94,100,0,50,94,19094023251
95,100,0,50,95,19096804149
96,100,0,50,96,19125770351
97,100,0,50,97,19092773480
98,100,0,50,98,19092672497
99,100,0,50,99,19077569218
100,100,100,50,0,23841079860
101,100,100,50,1,23837340139
102,100,100,50,10,23840207785
103,100,100,50,11,23837528105
104,100,100,50,12,23854156409
105,100,100,50,13,23856836072
106,100,100,50,14,23842299565
107,100,100,50,15,23841276681
108,100,100,50,16,23840534419
109,100,100,50,17,23856507946
110,100,100,50,18,23841045366
111,100,100,50,19,23840719331
112,100,100,50,2,23841426674
113,100,100,50,20,23841236948
114,100,100,50,21,23840552313
115,100,100,50,22,23841046259
116,100,100,50,23,23840387202
117,100,100,50,24,23853171122
118,100,100,50,25,23841180890
119,100,100,50,26,23833203875
