,reps,interop_compute_ms,globaldb_ms,trial,runtime_ns
0,0,0,50,0,240636570
1,0,0,50,1,239997239
2,0,0,50,10,240952021
3,0,0,50,11,237486440
4,0,0,50,12,239913110
5,0,0,50,13,240261337
6,0,0,50,14,240905426
7,0,0,50,15,238776990
8,0,0,50,16,241462726
9,0,0,50,17,240551411
10,0,0,50,18,239464229
11,0,0,50,19,240519616
12,0,0,50,2,241498845
13,0,0,50,20,239706704
14,0,0,50,21,238621146
15,0,0,50,22,236448158
16,0,0,50,23,240666528
17,0,0,50,24,239711070
18,0,0,50,25,240370838
19,0,0,50,26,240088386
20,0,0,50,27,241323269
21,0,0,50,28,241223944
22,0,0,50,29,239870212
23,0,0,50,3,240220563
24,0,0,50,30,239839135
25,0,0,50,31,240576139
26,0,0,50,32,240308411
27,0,0,50,33,260802967
28,0,0,50,34,240268986
29,0,0,50,35,240777923
30,0,0,50,36,240997394
31,0,0,50,37,241112486
32,0,0,50,38,239477575
33,0,0,50,39,240628906
34,0,0,50,4,239414064
35,0,0,50,40,240751367
36,0,0,50,41,240305978
37,0,0,50,42,239721545
38,0,0,50,43,239028231
39,0,0,50,44,240941610
40,0,0,50,45,240988609
41,0,0,50,46,241167944
42,0,0,50,47,240499512
43,0,0,50,48,240072261
44,0,0,50,49,240774967
45,0,0,50,5,239818219
46,0,0,50,6,241240780
47,0,0,50,7,240050533
48,0,0,50,8,240184773
49,0,0,50,9,240811287
50,0,100,50,0,240728534
51,0,100,50,1,241185980
52,0,100,50,10,241366264
53,0,100,50,11,239469363
54,0,100,50,12,238552919
55,0,100,50,13,241133948
56,0,100,50,14,240445477
57,0,100,50,15,240240273
58,0,100,50,16,238810095
59,0,100,50,17,240340781
60,0,100,50,18,240663845
61,0,100,50,19,240022889
62,0,100,50,2,236068007
63,0,100,50,20,240868940
64,0,100,50,21,240735506
65,0,100,50,22,241538622
66,0,100,50,23,241155512
67,0,100,50,24,240390679
68,0,100,50,25,240972615
69,0,100,50,26,236364485
70,0,100,50,27,240272581
71,0,100,50,28,240580110
72,0,100,50,29,240462936
73,0,100,50,3,239970844
74,0,100,50,30,239560446
75,0,100,50,31,240593452
76,0,100,50,32,241361069
77,0,100,50,33,240807884
78,0,100,50,34,240099190
79,0,100,50,35,240821226
80,0,100,50,36,240958920
81,0,100,50,37,241039703
82,0,100,50,38,241468191
83,0,100,50,39,238474239
84,0,100,50,4,240066777
85,0,100,50,40,241358352
86,0,100,50,41,240846127
87,0,100,50,42,240852943
88,0,100,50,43,238429222
89,0,100,50,44,240443268
90,0,100,50,45,239384452
91,0,100,50,46,240597756
92,0,100,50,47,238460967
93,0,100,50,48,240999281
94,0,100,50,49,240239610
95,0,100,50,5,236811757
96,0,100,50,6,238993601
97,0,100,50,7,240278863
98,0,100,50,8,237097482
99,0,100,50,9,240570892
100,0,50,50,0,240988831
101,0,50,50,1,240192892
102,0,50,50,10,240425893
103,0,50,50,11,239857917
104,0,50,50,12,240304605
105,0,50,50,13,239986845
106,0,50,50,14,240703526
107,0,50,50,15,240684855
108,0,50,50,16,236854688
109,0,50,50,17,239763634
110,0,50,50,18,239952992
111,0,50,50,19,240434530
112,0,50,50,2,241094908
113,0,50,50,20,240590788
114,0,50,50,21,241034475
115,0,50,50,22,240989390
116,0,50,50,23,240173276
117,0,50,50,24,238627214
118,0,50,50,25,239916427
119,0,50,50,26,238385442
120,0,50,50,27,239899543
121,0,50,50,28,240287053
122,0,50,50,29,239701988
123,0,50,50,3,240601624
124,0,50,50,30,240476276
125,0,50,50,31,241184483
126,0,50,50,32,239780011
127,0,50,50,33,238568494
128,0,50,50,34,241087627
129,0,50,50,35,239941112
130,0,50,50,36,240606931
131,0,50,50,37,240272182
132,0,50,50,38,239938587
133,0,50,50,39,240598511
134,0,50,50,4,240674583
135,0,50,50,40,237264257
136,0,50,50,41,237326904
137,0,50,50,42,240862420
138,0,50,50,43,238482419
139,0,50,50,44,239984408
140,0,50,50,45,240579173
141,0,50,50,46,239735073
142,0,50,50,47,240671183
143,0,50,50,48,240221249
144,0,50,50,49,241537922
145,0,50,50,5,240243664
146,0,50,50,6,241055603
147,0,50,50,7,239512604
148,0,50,50,8,236594372
149,0,50,50,9,239985922
150,100,0,50,0,19089391034
151,100,0,50,1,19080701826
152,100,0,50,10,19092349069
153,100,0,50,11,19101838864
154,100,0,50,12,19088985870
155,100,0,50,13,19079668094
156,100,0,50,14,19090055617
157,100,0,50,15,19085115361
158,100,0,50,16,19076956928
159,100,0,50,17,19085214788
160,100,0,50,18,19093788152
161,100,0,50,19,19097568492
162,100,0,50,2,19081067461
163,100,0,50,20,19117493086
164,100,0,50,21,19120440438
165,100,0,50,22,19128456262
166,100,0,50,23,19110178745
167,100,0,50,24,19080394486
168,100,0,50,25,19112953730
169,100,0,50,26,19109930777
170,100,0,50,27,19081604869
171,100,0,50,28,19124875986
172,100,0,50,29,19085403635
173,100,0,50,3,19093562113
174,100,0,50,30,19077984331
175,100,0,50,31,19081241788
176,100,0,50,32,19108452517
177,100,0,50,33,19077301917
178,100,0,50,34,19081194240
179,100,0,50,35,19105102948
180,100,0,50,36,19089218982
181,100,0,50,37,19091052752
182,100,0,50,38,19085527265
183,100,0,50,39,19083999733
184,100,0,50,4,19113368062
185,100,0,50,40,19093293013
186,100,0,50,41,19076375009
187,100,0,50,42,19092196353
188,100,0,50,43,19092775317
189,100,0,50,44,19092466303
190,100,0,50,45,19080847945
191,100,0,50,46,19104324540
192,100,0,50,47,19084758935
193,100,0,50,48,19090268392
194,100,0,50,49,19098116712
195,100,0,50,5,19089143603
196,100,0,50,6,19097933607
197,100,0,50,7,19092942276
198,100,0,50,8,19092376505
199,100,0,50,9,19086326714
200,100,100,50,0,23893730245
201,100,100,50,1,23837748065
202,100,100,50,10,23816798133
203,100,100,50,11,23829143444
204,100,100,50,12,23824299970
205,100,100,50,13,23840782658
206,100,100,50,14,23837046155
207,100,100,50,15,23849739789
208,100,100,50,16,23841772078
209,100,100,50,17,23813897402
210,100,100,50,18,23837898068
211,100,100,50,19,23862101056
212,100,100,50,2,23821810708
213,100,100,50,20,23901209266
214,100,100,50,21,23827591574
215,100,100,50,22,23825535216
216,100,100,50,23,23820760535
217,100,100,50,24,23833906161
218,100,100,50,25,23888356317
219,100,100,50,26,23841243126
220,100,100,50,27,23804851917
221,100,100,50,28,23841476411
222,100,100,50,29,23837163876
223,100,100,50,3,23809394230
224,100,100,50,30,23813662738
225,100,100,50,31,23833783600
226,100,100,50,32,23836998380
227,100,100,50,33,23816975053
228,100,100,50,34,23842070349
229,100,100,50,35,23865494529
230,100,100,50,36,23825804406
231,100,100,50,37,23853926500
232,100,100,50,38,23832963261
233,100,100,50,39,23834238497
234,100,100,50,4,23837802583
235,100,100,50,40,23873621445
236,100,100,50,41,23840739871
237,100,100,50,42,23803596497
238,100,100,50,43,23837023721
239,100,100,50,44,23816539424
240,100,100,50,45,23812873895
241,100,100,50,46,23805589886
242,100,100,50,47,23848850094
243,100,100,50,48,23864737412
244,100,100,50,49,23837510466
245,100,100,50,5,23837261556
246,100,100,50,6,23797713759
247,100,100,50,7,23844865837
248,100,100,50,8,23825263541
249,100,100,50,9,23788723606
250,100,50,50,0,19113168233
251,100,50,50,1,19105112885
252,100,50,50,10,19089628643
253,100,50,50,11,19093128583
254,100,50,50,12,19093758812
255,100,50,50,13,19090251797
256,100,50,50,14,19113724355
257,100,50,50,15,19108922103
258,100,50,50,16,19092446801
259,100,50,50,17,19092939847
260,100,50,50,18,19093232739
261,100,50,50,19,19093603992
262,100,50,50,2,19101486149
263,100,50,50,20,19109022781
264,100,50,50,21,19093164836
265,100,50,50,22,19092942676
266,100,50,50,23,19096825777
267,100,50,50,24,19105858847
268,100,50,50,25,19096923875
269,100,50,50,26,19100782496
270,100,50,50,27,19105347628
271,100,50,50,28,19094101412
