,reps,interop_compute_ms,trial,runtime_ns
0,100,0,0,10012883769
1,100,0,1,9997386229
2,100,0,10,10078018022
3,100,0,11,10029310641
4,100,0,12,10006545451
5,100,0,13,9968011466
6,100,0,14,9953763984
7,100,0,15,9994686381
8,100,0,16,10039380140
9,100,0,17,10045563918
10,100,0,18,10015128125
11,100,0,19,9940988258
12,100,0,2,10041702557
13,100,0,20,9945236217
14,100,0,21,9956844737
15,100,0,22,9975511090
16,100,0,23,10001341351
17,100,0,24,9960656845
18,100,0,25,9990362582
19,100,0,26,10062141834
20,100,0,27,9957883236
21,100,0,28,9961075123
22,100,0,29,9957046004
23,100,0,3,9991820552
24,100,0,4,9999321352
25,100,0,5,10003891706
26,100,0,6,9959004876
27,100,0,7,10007552623
28,100,0,8,10035634816
29,100,0,9,9944259344
30,100,100,0,10200797755
31,100,100,1,10199941713
32,100,100,10,10219314173
33,100,100,11,10188924920
34,100,100,12,10177537451
35,100,100,13,10185986059
36,100,100,14,10170603873
37,100,100,15,10194053246
38,100,100,16,10194912626
39,100,100,17,10173734955
40,100,100,18,10178565165
41,100,100,19,10183507100
42,100,100,2,10175423799
43,100,100,20,10205279319
44,100,100,21,10196106749
45,100,100,22,10206798982
46,100,100,23,10170955406
47,100,100,24,10163376489
48,100,100,25,10182520311
49,100,100,26,10173917159
50,100,100,27,10204894668
51,100,100,28,10186044472
52,100,100,29,10173500751
53,100,100,3,10171937607
54,100,100,4,10184791028
55,100,100,5,10166753737
56,100,100,6,10191801466
57,100,100,7,10195614561
58,100,100,8,10190909839
59,100,100,9,10181547814
60,100,105,0,10691086346
61,100,105,1,10679164463
62,100,105,10,10679737017
63,100,105,11,10700911796
64,100,105,12,10676712785
65,100,105,13,10706210866
66,100,105,14,10683592557
67,100,105,15,10673468729
68,100,105,16,10672069950
69,100,105,17,10670282999
70,100,105,18,10705452769
71,100,105,19,10681468117
72,100,105,2,10681121156
73,100,105,20,10713207152
74,100,105,21,10686725419
75,100,105,22,10707083097
76,100,105,23,10709505325
77,100,105,24,10670645040
78,100,105,25,10689360251
79,100,105,26,10678107071
80,100,105,27,10690307673
81,100,105,28,10696794636
82,100,105,29,10698854945
83,100,105,3,10700955399
84,100,105,4,10696255665
85,100,105,5,10693808174
86,100,105,6,10679522473
87,100,105,7,10691810603
88,100,105,8,10705197798
89,100,105,9,10689837924
90,100,10,0,9966739975
91,100,10,1,10011507086
92,100,10,10,9987976308
93,100,10,11,10027038666
94,100,10,12,9953661769
95,100,10,13,9939911644
96,100,10,14,9946907983
97,100,10,15,9965300319
98,100,10,16,9956162821
99,100,10,17,10016019414
100,100,10,18,10021579087
101,100,10,19,9923090153
102,100,10,2,9997061158
103,100,10,20,9978588705
104,100,10,21,9967299061
105,100,10,22,9964668240
106,100,10,23,10001892682
107,100,10,24,9962028774
108,100,10,25,9952517215
109,100,10,26,10042767038
110,100,10,27,10058184962
111,100,10,28,10070047404
112,100,10,29,10053557945
113,100,10,3,9967036366
114,100,10,4,9985106584
115,100,10,5,9919149324
116,100,10,6,9920578785
117,100,10,7,10010770414
118,100,10,8,10061007110
119,100,10,9,10023307160
120,100,110,0,11177360146
121,100,110,1,11204794568
122,100,110,10,11212684198
123,100,110,11,11202181784
124,100,110,12,11194640522
125,100,110,13,11182717874
126,100,110,14,11184853714
127,100,110,15,11186074691
128,100,110,16,11204842875
129,100,110,17,11187748101
130,100,110,18,11184731760
