,reps,interop_compute_ms,trial,runtime_ns
0,0,0,0,175540964
1,0,0,1,171334831
2,0,0,10,172123140
3,0,0,11,173261933
4,0,0,12,170851953
5,0,0,13,172518962
6,0,0,14,172857901
7,0,0,15,171395284
8,0,0,16,172483755
9,0,0,17,172648229
10,0,0,18,171558312
11,0,0,19,171085023
12,0,0,2,172390540
13,0,0,20,172959339
14,0,0,21,171556277
15,0,0,22,171548243
16,0,0,23,170932859
17,0,0,24,172123901
18,0,0,25,173168278
19,0,0,26,171867666
20,0,0,27,172244752
21,0,0,28,170854990
22,0,0,29,171262377
23,0,0,3,170472743
24,0,0,4,174638469
25,0,0,5,170604289
26,0,0,6,172346427
27,0,0,7,172495279
28,0,0,8,172027600
29,0,0,9,172467847
30,0,100,0,173910993
31,0,100,1,171379384
32,0,100,10,170962615
33,0,100,11,172962958
34,0,100,12,172513562
35,0,100,13,171318864
36,0,100,14,170413104
37,0,100,15,173333153
38,0,100,16,171030507
39,0,100,17,173123066
40,0,100,18,171193918
41,0,100,19,171330227
42,0,100,2,173298941
43,0,100,20,173250366
44,0,100,21,171570198
45,0,100,22,171028233
46,0,100,23,170441187
47,0,100,24,170901851
48,0,100,25,172170319
49,0,100,26,170851903
50,0,100,27,171325796
51,0,100,28,170864901
52,0,100,29,171770266
53,0,100,3,172115726
54,0,100,4,172566461
55,0,100,5,171379615
56,0,100,6,172111688
57,0,100,7,171991612
58,0,100,8,171870613
59,0,100,9,173164011
60,0,150,0,172656249
61,0,150,1,172419244
62,0,150,10,171641235
63,0,150,11,171710748
64,0,150,12,170759417
65,0,150,13,171784013
66,0,150,14,171260642
67,0,150,15,171722529
68,0,150,16,172945279
69,0,150,17,171285846
70,0,150,18,171387973
71,0,150,19,172481850
72,0,150,2,172132523
73,0,150,20,171344717
74,0,150,21,171215419
75,0,150,22,172121526
76,0,150,23,171841636
77,0,150,24,171136622
78,0,150,25,170826276
79,0,150,26,173604494
80,0,150,27,185651959
81,0,150,28,173444125
82,0,150,29,171345730
83,0,150,3,172145256
84,0,150,4,172196133
85,0,150,5,171296114
86,0,150,6,174068297
87,0,150,7,171900673
88,0,150,8,173978776
89,0,150,9,172276527
90,0,50,0,172146416
91,0,50,1,171986960
92,0,50,10,170759833
93,0,50,11,170953227
94,0,50,12,172302439
95,0,50,13,173091825
96,0,50,14,171316747
97,0,50,15,172160997
98,0,50,16,170623337
99,0,50,17,173123335
100,0,50,18,171335300
101,0,50,19,172452832
102,0,50,2,172350554
103,0,50,20,172077922
104,0,50,21,173862316
105,0,50,22,171889953
106,0,50,23,172344631
107,0,50,24,171464145
108,0,50,25,173095132
109,0,50,26,171420057
110,0,50,27,171067275
111,0,50,28,172202463
112,0,50,29,172089083
113,0,50,3,170985496
114,0,50,4,171253941
115,0,50,5,171912057
116,0,50,6,171568789
117,0,50,7,170836636
118,0,50,8,173746585
119,0,50,9,174002070
120,100,0,0,9885735118
121,100,0,1,9913726200
122,100,0,10,9999156589
123,100,0,11,9978954635
124,100,0,12,10037925956
125,100,0,13,9937662348
126,100,0,14,9961027703
127,100,0,15,9965049456
128,100,0,16,10010068367
129,100,0,17,9964446303
130,100,0,18,9976448026
131,100,0,19,9949990691
132,100,0,2,10018338451
133,100,0,20,10011878023
134,100,0,21,9994649525
135,100,0,22,9935461366
136,100,0,23,9896429491
137,100,0,24,9995272207
138,100,0,25,9981351662
139,100,0,26,9954003667
140,100,0,27,10007715597
141,100,0,28,9936187401
142,100,0,29,9937639989
143,100,0,3,9909904083
144,100,0,4,9913427692
145,100,0,5,9978944506
146,100,0,6,9988263971
147,100,0,7,9967680081
148,100,0,8,10027025544
149,100,0,9,9998542464
150,100,100,0,10192315008
151,100,100,1,10194952614
152,100,100,10,10204112700
153,100,100,11,10214071388
154,100,100,12,10182998866
155,100,100,13,10195810186
156,100,100,14,10205544361
157,100,100,15,10173761009
158,100,100,16,10178746490
159,100,100,17,10192139673
160,100,100,18,10190093997
161,100,100,19,10171420022
162,100,100,2,10181033847
163,100,100,20,10195028605
164,100,100,21,10185908646
165,100,100,22,10198605029
166,100,100,23,10179144882
167,100,100,24,10201440001
168,100,100,25,10165547342
169,100,100,26,10210079604
170,100,100,27,10209475960
171,100,100,28,10170690820
172,100,100,29,10216330068
173,100,100,3,10196747708
174,100,100,4,10186271271
175,100,100,5,10183239175
176,100,100,6,10169430988
177,100,100,7,10184968738
178,100,100,8,10183204925
179,100,100,9,10208370714
180,100,150,0,15223089884
181,100,150,1,15218047620
182,100,150,10,15213338067
183,100,150,11,15209988424
184,100,150,12,15233284105
185,100,150,13,15224844267
186,100,150,14,15220903115
187,100,150,15,15230668635
188,100,150,16,15216064204
189,100,150,17,15220307854
190,100,150,18,15218382349
